state_code,date_month,seasonal_period,theft_rate_percent,christmas_theft_multiplier,vandalism_incidents,traffic_congestion_index,weather_disruption_index,risk_zone_score
CO,2022-07-01,Normal,1.28,1.0,54,47.4,51.6,50.8
CO,2022-08-01,Normal,0.61,1.0,12,42.1,51.3,47.3
CO,2022-09-01,Normal,1.5,1.0,27,37.5,36.1,38.3
CO,2022-10-01,Normal,1.38,1.0,59,43.1,31.1,38.5
CO,2022-11-01,Normal,0.78,1.0,11,58.7,39.1,49.7
CO,2022-12-01,Pre_Christmas,1.63,1.62,107,51.9,34.7,45.9
CO,2023-01-01,Post_Christmas,1.5,1.0,38,52.4,41.9,48.6
CO,2023-02-01,Normal,1.17,1.0,54,41.4,59.4,51.6
CO,2023-03-01,Normal,1.15,1.0,42,42.8,35.4,40.2
CO,2023-04-01,Normal,0.59,1.0,71,40.1,39.6,40.4
CO,2023-05-01,Normal,1.4,1.0,77,34.5,51.8,44.5
CO,2023-06-01,Normal,0.53,1.0,24,51.4,45.3,48.9
CO,2023-07-01,Normal,0.74,1.0,59,56.2,31.3,44.5
CO,2023-08-01,Normal,0.64,1.0,31,57.2,34.9,46.7
CO,2023-09-01,Normal,1.28,1.0,79,56.4,58.1,58.5
CO,2023-10-01,Normal,0.7,1.0,27,43.6,33.1,39.0
CO,2023-11-01,Normal,1.41,1.0,30,38.5,49.1,45.2
CO,2023-12-01,Pre_Christmas,1.4,1.85,80,58.7,53.8,58.8
CO,2024-01-01,Post_Christmas,0.51,1.0,65,51.8,38.0,45.4
CO,2024-02-01,Normal,0.55,1.0,34,44.8,51.8,48.8
CO,2024-03-01,Normal,1.11,1.0,52,50.7,35.1,44.0
CO,2024-04-01,Normal,1.3,1.0,48,53.2,38.5,47.2
CO,2024-05-01,Normal,0.74,1.0,79,57.6,39.4,49.2
CO,2024-06-01,Normal,1.35,1.0,75,52.9,59.9,57.8
CO,2024-07-01,Normal,0.56,1.0,55,43.0,36.4,40.3
CO,2024-08-01,Normal,1.3,1.0,57,38.2,33.9,37.4
CO,2024-09-01,Normal,1.43,1.0,72,45.0,57.8,52.8
CO,2024-10-01,Normal,1.27,1.0,22,39.8,34.9,38.6
CO,2024-11-01,Normal,1.2,1.0,60,58.3,56.4,58.5
CO,2024-12-01,Pre_Christmas,1.62,1.88,90,51.9,49.5,53.7
CO,2025-01-01,Post_Christmas,0.7,1.0,18,40.4,47.3,44.5
CO,2025-02-01,Normal,0.62,1.0,34,49.2,52.5,51.5
CO,2025-03-01,Normal,1.0,1.0,43,45.6,51.8,49.7
CO,2025-04-01,Normal,1.25,1.0,44,33.9,33.3,34.8
CO,2025-05-01,Normal,1.13,1.0,74,56.1,60.0,59.2
CO,2025-06-01,Normal,1.35,1.0,77,40.8,58.3,50.9
CO,2025-07-01,Normal,0.66,1.0,66,43.0,56.9,50.6
CO,2025-08-01,Normal,1.23,1.0,55,36.2,48.7,43.7
CO,2025-09-01,Normal,0.69,1.0,17,46.6,45.7,46.8
CT,2020-01-01,Post_Christmas,0.77,1.0,74,51.1,76.1,64.4
CT,2020-02-01,Normal,1.21,1.0,19,56.4,60.4,59.6
CT,2020-03-01,Normal,1.48,1.0,21,31.5,45.0,39.7
CT,2020-04-01,Normal,1.11,1.0,14,59.2,48.7,55.1
CT,2020-05-01,Normal,0.55,1.0,76,51.1,49.8,51.0
CT,2020-06-01,Normal,1.12,1.0,44,38.5,40.0,40.4
CT,2020-07-01,Normal,0.54,1.0,26,36.1,44.1,40.6
CT,2020-08-01,Normal,1.38,1.0,15,38.9,49.1,45.4
CT,2020-09-01,Normal,1.21,1.0,38,56.3,42.8,50.8
CT,2020-10-01,Normal,0.67,1.0,60,38.7,58.9,49.5
CT,2020-11-01,Normal,0.59,1.0,79,43.9,51.2,48.1
CT,2020-12-01,Pre_Christmas,0.95,1.97,69,60.8,60.0,62.3
CT,2021-01-01,Post_Christmas,0.96,1.0,73,49.8,60.7,56.2
CT,2021-02-01,Normal,1.28,1.0,29,52.6,80.7,67.9
CT,2021-03-01,Normal,1.14,1.0,79,35.2,42.4,39.9
CT,2021-04-01,Normal,1.07,1.0,46,56.3,55.2,56.8
CT,2021-05-01,Normal,0.65,1.0,75,38.3,35.2,37.4
CT,2021-06-01,Normal,1.45,1.0,18,33.9,30.4,33.6
CT,2021-07-01,Normal,0.8,1.0,16,59.3,41.6,51.2
CT,2021-08-01,Normal,1.08,1.0,71,36.0,52.1,45.1
CT,2021-09-01,Normal,1.2,1.0,57,34.1,59.2,47.9
CT,2021-10-01,Normal,1.15,1.0,22,48.8,56.5,53.8
CT,2021-11-01,Normal,1.44,1.0,72,39.6,44.5,43.5
CT,2021-12-01,Pre_Christmas,0.84,1.95,21,39.4,84.4,63.5
CT,2022-01-01,Post_Christmas,0.9,1.0,14,52.8,62.1,58.3
CT,2022-02-01,Normal,0.97,1.0,66,53.8,77.2,66.5
CT,2022-03-01,Normal,0.62,1.0,69,34.7,57.7,46.8
CT,2022-04-01,Normal,0.63,1.0,17,46.7,41.9,44.9
CT,2022-05-01,Normal,0.78,1.0,16,54.4,58.8,57.4
CT,2022-06-01,Normal,0.8,1.0,53,34.8,36.6,36.5
CT,2022-07-01,Normal,0.93,1.0,12,36.2,33.2,35.6
CT,2022-08-01,Normal,1.11,1.0,62,30.1,45.7,39.0
CT,2022-09-01,Normal,1.13,1.0,74,45.7,57.2,52.6
CT,2022-10-01,Normal,0.91,1.0,62,35.8,39.3,38.5
CT,2022-11-01,Normal,0.91,1.0,26,51.7,54.0,53.8
CT,2022-12-01,Pre_Christmas,0.95,1.79,28,66.0,65.1,67.3
CT,2023-01-01,Post_Christmas,0.82,1.0,47,49.5,82.4,66.8
CT,2023-02-01,Normal,0.54,1.0,41,36.4,76.7,57.1
CT,2023-03-01,Normal,0.92,1.0,62,30.5,35.3,33.8
CT,2023-04-01,Normal,0.97,1.0,24,52.8,51.5,53.1
CT,2023-05-01,Normal,0.73,1.0,63,43.0,51.4,47.9
CT,2023-06-01,Normal,1.07,1.0,58,58.4,45.5,53.0
CT,2023-07-01,Normal,1.07,1.0,26,46.0,36.8,42.5
CT,2023-08-01,Normal,1.2,1.0,34,34.7,34.0,35.5
CT,2023-09-01,Normal,1.15,1.0,14,43.5,58.7,52.2
CT,2023-10-01,Normal,1.15,1.0,41,36.1,49.7,44.0
CT,2023-11-01,Normal,0.82,1.0,28,56.3,54.3,56.1
CT,2023-12-01,Pre_Christmas,1.69,1.79,23,57.5,80.9,72.2
CT,2024-01-01,Post_Christmas,0.93,1.0,16,45.8,84.9,66.3
CT,2024-02-01,Normal,1.13,1.0,22,50.1,64.9,58.6
CT,2024-03-01,Normal,0.86,1.0,15,53.5,44.9,50.1
CT,2024-04-01,Normal,1.01,1.0,57,32.4,50.0,42.2
CT,2024-05-01,Normal,1.24,1.0,33,30.7,33.1,33.1
CT,2024-06-01,Normal,1.39,1.0,14,33.4,34.5,35.3
CT,2024-07-01,Normal,1.42,1.0,23,41.8,49.0,46.8
CT,2024-08-01,Normal,1.0,1.0,78,44.0,56.1,51.0
CT,2024-09-01,Normal,1.02,1.0,27,34.1,49.8,43.0
CT,2024-10-01,Normal,1.3,1.0,57,42.3,31.1,38.0
CT,2024-11-01,Normal,0.81,1.0,42,43.2,59.1,52.0
CT,2024-12-01,Pre_Christmas,1.74,1.58,26,39.6,64.2,54.6
CT,2025-01-01,Post_Christmas,0.62,1.0,62,48.0,67.0,58.1
CT,2025-02-01,Normal,0.57,1.0,33,41.7,89.2,66.0
CT,2025-03-01,Normal,1.34,1.0,44,45.2,53.1,50.5
CT,2025-04-01,Normal,0.56,1.0,20,39.4,58.1,49.3
CT,2025-05-01,Normal,0.78,1.0,67,55.6,54.2,55.7
CT,2025-06-01,Normal,0.83,1.0,25,47.3,49.6,49.3
CT,2025-07-01,Normal,0.67,1.0,49,44.8,38.5,42.3
CT,2025-08-01,Normal,0.81,1.0,71,57.3,39.8,49.4
CT,2025-09-01,Normal,1.24,1.0,59,55.1,58.4,58.0
DE,2020-01-01,Post_Christmas,0.51,1.0,52,54.4,55.8,55.6
DE,2020-02-01,Normal,1.33,1.0,72,36.8,40.8,40.1
DE,2020-03-01,Normal,1.36,1.0,22,34.6,41.2,39.3
DE,2020-04-01,Normal,0.87,1.0,77,50.7,38.9,45.7
DE,2020-05-01,Normal,0.65,1.0,48,44.1,39.8,42.6
DE,2020-06-01,Normal,1.1,1.0,38,50.5,55.8,54.2
DE,2020-07-01,Normal,0.62,1.0,27,52.8,30.3,42.2
DE,2020-08-01,Normal,0.86,1.0,62,38.9,43.1,41.9
DE,2020-09-01,Normal,1.46,1.0,78,38.5,58.3,49.9
DE,2020-10-01,Normal,1.5,1.0,58,44.7,46.3,47.0
DE,2020-11-01,Normal,1.27,1.0,12,38.2,43.5,42.1
DE,2020-12-01,Pre_Christmas,1.08,1.99,60,58.8,39.4,51.2
DE,2021-01-01,Post_Christmas,1.21,1.0,61,44.2,32.2,39.4
DE,2021-02-01,Normal,0.89,1.0,59,51.7,36.7,45.1
DE,2021-03-01,Normal,1.14,1.0,14,45.3,32.7,40.1
DE,2021-04-01,Normal,0.51,1.0,49,51.4,33.8,43.1
DE,2021-05-01,Normal,0.71,1.0,22,36.7,34.9,36.5
DE,2021-06-01,Normal,1.03,1.0,44,52.2,39.1,46.7
DE,2021-07-01,Normal,0.66,1.0,36,51.5,30.3,41.6
DE,2021-08-01,Normal,0.67,1.0,66,38.0,58.5,48.9
DE,2021-09-01,Normal,1.34,1.0,70,46.7,33.7,41.5
DE,2021-10-01,Normal,1.49,1.0,42,55.7,41.5,50.1
DE,2021-11-01,Normal,1.06,1.0,47,37.5,56.4,48.0
DE,2021-12-01,Pre_Christmas,1.87,1.63,76,62.3,33.2,50.8
DE,2022-01-01,Post_Christmas,0.64,1.0,55,56.0,44.5,50.9
DE,2022-02-01,Normal,0.95,1.0,78,42.0,55.3,49.6
DE,2022-03-01,Normal,0.89,1.0,67,48.2,46.7,48.3
DE,2022-04-01,Normal,0.58,1.0,19,59.8,36.3,48.6
DE,2022-05-01,Normal,1.26,1.0,43,47.1,52.1,50.9
DE,2022-06-01,Normal,0.93,1.0,42,33.5,50.4,42.9
DE,2022-07-01,Normal,0.97,1.0,45,31.4,40.9,37.1
DE,2022-08-01,Normal,0.65,1.0,46,53.7,31.4,43.2
DE,2022-09-01,Normal,0.68,1.0,60,42.7,30.2,37.1
DE,2022-10-01,Normal,1.41,1.0,39,37.4,54.8,47.5
DE,2022-11-01,Normal,0.54,1.0,28,40.4,39.6,40.5
DE,2022-12-01,Pre_Christmas,0.92,1.86,50,60.4,34.1,49.0
DE,2023-01-01,Post_Christmas,0.99,1.0,69,56.1,45.6,51.8
DE,2023-02-01,Normal,1.09,1.0,78,52.0,57.6,55.9
DE,2023-03-01,Normal,0.99,1.0,23,59.2,30.3,45.7
DE,2023-04-01,Normal,0.58,1.0,52,56.7,31.7,44.8
DE,2023-05-01,Normal,0.74,1.0,66,37.6,42.5,40.8
DE,2023-06-01,Normal,1.34,1.0,29,49.8,50.3,51.4
DE,2023-07-01,Normal,1.14,1.0,33,30.6,44.3,38.6
DE,2023-08-01,Normal,1.15,1.0,29,59.7,56.9,59.5
DE,2023-09-01,Normal,1.17,1.0,20,37.8,31.3,35.7
DE,2023-10-01,Normal,1.26,1.0,20,49.9,40.2,46.3
DE,2023-11-01,Normal,0.56,1.0,23,55.5,40.5,48.6
DE,2023-12-01,Pre_Christmas,1.13,1.9,61,41.2,40.2,42.8
DE,2024-01-01,Post_Christmas,0.84,1.0,47,30.4,44.6,38.3
DE,2024-02-01,Normal,1.34,1.0,57,43.3,53.7,49.8
DE,2024-03-01,Normal,0.98,1.0,14,44.2,39.5,42.8
DE,2024-04-01,Normal,1.27,1.0,68,41.2,52.3,48.0
DE,2024-05-01,Normal,1.35,1.0,12,47.6,34.4,42.4
DE,2024-06-01,Normal,1.0,1.0,49,57.4,46.8,53.1
DE,2024-07-01,Normal,1.41,1.0,42,39.8,41.3,42.0
DE,2024-08-01,Normal,1.09,1.0,45,47.4,46.2,47.9
DE,2024-09-01,Normal,1.35,1.0,76,56.3,33.2,46.1
DE,2024-10-01,Normal,0.84,1.0,74,53.2,58.6,56.7
DE,2024-11-01,Normal,1.0,1.0,29,31.2,57.2,45.2
DE,2024-12-01,Pre_Christmas,1.26,1.72,73,64.4,54.8,61.8
DE,2025-01-01,Post_Christmas,0.9,1.0,77,47.7,56.8,53.1
DE,2025-02-01,Normal,1.42,1.0,40,47.3,34.4,42.3
DE,2025-03-01,Normal,1.13,1.0,29,53.6,45.1,50.5
DE,2025-04-01,Normal,0.68,1.0,45,34.5,39.5,37.7
DE,2025-05-01,Normal,0.84,1.0,67,35.4,56.6,46.8
DE,2025-06-01,Normal,0.69,1.0,75,52.6,35.7,44.8
DE,2025-07-01,Normal,0.52,1.0,58,34.5,36.6,36.1
DE,2025-08-01,Normal,1.43,1.0,59,44.1,50.6,48.8
DE,2025-09-01,Normal,0.95,1.0,45,51.9,32.7,43.2
FL,2020-01-01,Post_Christmas,1.62,1.0,97,79.5,24.6,53.7
FL,2020-02-01,Normal,2.2,1.0,113,66.3,15.4,43.1
FL,2020-03-01,Normal,1.01,1.0,124,69.1,23.2,47.2
FL,2020-04-01,Normal,1.56,1.0,172,89.1,27.5,59.9
FL,2020-05-01,Normal,2.41,1.0,133,73.5,22.2,50.3
FL,2020-06-01,Normal,2.27,1.0,168,61.3,14.3,40.1
FL,2020-07-01,Normal,2.96,1.0,54,66.6,11.0,41.8
FL,2020-08-01,Normal,2.24,1.0,163,70.3,10.9,42.8
FL,2020-09-01,Normal,1.96,1.0,126,90.0,11.8,52.9
FL,2020-10-01,Normal,2.52,1.0,199,69.1,21.6,47.9
FL,2020-11-01,Normal,2.81,1.0,120,60.8,17.0,41.7
FL,2020-12-01,Pre_Christmas,3.5,2.21,174,83.6,14.9,57.0
FL,2021-01-01,Post_Christmas,2.56,1.0,155,68.2,14.4,43.9
FL,2021-02-01,Normal,2.73,1.0,179,89.8,29.0,62.1
FL,2021-03-01,Normal,1.23,1.0,63,81.1,12.4,48.0
FL,2021-04-01,Normal,2.46,1.0,81,61.5,16.1,41.3
FL,2021-05-01,Normal,1.88,1.0,181,73.5,19.4,48.3
FL,2021-06-01,Normal,2.11,1.0,56,65.1,10.0,39.7
FL,2021-07-01,Normal,2.31,1.0,126,63.7,28.4,48.4
FL,2021-08-01,Normal,2.94,1.0,110,77.6,12.0,47.7
FL,2021-09-01,Normal,2.97,1.0,190,75.2,23.6,52.4
FL,2021-10-01,Normal,1.58,1.0,178,82.3,22.6,54.0
FL,2021-11-01,Normal,2.47,1.0,184,86.8,26.2,59.0
FL,2021-12-01,Pre_Christmas,3.26,2.19,131,80.4,23.0,58.8
FL,2022-01-01,Post_Christmas,1.25,1.0,195,75.5,25.4,51.7
FL,2022-02-01,Normal,1.08,1.0,51,67.8,18.4,44.2
FL,2022-03-01,Normal,2.55,1.0,196,85.4,19.8,55.1
FL,2022-04-01,Normal,1.98,1.0,103,61.1,24.0,44.5
FL,2022-05-01,Normal,2.97,1.0,69,76.8,21.4,52.1
FL,2022-06-01,Normal,1.93,1.0,142,81.6,20.2,52.8
FL,2022-07-01,Normal,2.96,1.0,167,68.4,14.1,44.2
FL,2022-08-01,Normal,1.82,1.0,69,85.9,15.2,52.4
FL,2022-09-01,Normal,2.59,1.0,56,67.2,17.2,44.8
FL,2022-10-01,Normal,1.17,1.0,184,85.2,10.2,48.9
FL,2022-11-01,Normal,2.11,1.0,190,62.4,18.3,42.5
FL,2022-12-01,Pre_Christmas,3.5,2.86,107,73.7,10.1,51.9
FL,2023-01-01,Post_Christmas,2.65,1.0,199,85.6,21.3,56.1
FL,2023-02-01,Normal,1.07,1.0,82,64.3,24.1,45.3
FL,2023-03-01,Normal,1.75,1.0,136,86.3,21.2,55.5
FL,2023-04-01,Normal,1.1,1.0,199,66.9,23.9,46.5
FL,2023-05-01,Normal,1.22,1.0,185,73.6,10.0,43.0
FL,2023-06-01,Normal,2.35,1.0,140,70.6,11.2,43.2
FL,2023-07-01,Normal,2.43,1.0,79,63.5,24.0,46.2
FL,2023-08-01,Normal,2.55,1.0,62,88.3,26.1,59.8
FL,2023-09-01,Normal,2.73,1.0,88,73.1,24.4,51.5
FL,2023-10-01,Normal,2.48,1.0,59,80.7,23.3,54.5
FL,2023-11-01,Normal,2.6,1.0,79,77.3,24.1,53.3
FL,2023-12-01,Pre_Christmas,1.39,2.51,83,87.2,24.8,59.5
FL,2024-01-01,Post_Christmas,2.24,1.0,127,87.0,24.5,58.0
FL,2024-02-01,Normal,2.72,1.0,171,81.0,24.8,55.6
FL,2024-03-01,Normal,1.01,1.0,111,76.0,11.5,44.8
FL,2024-04-01,Normal,2.03,1.0,110,79.4,11.3,47.4
FL,2024-05-01,Normal,2.35,1.0,81,78.2,17.2,50.1
FL,2024-06-01,Normal,1.06,1.0,116,73.0,20.6,47.9
FL,2024-07-01,Normal,1.8,1.0,76,78.7,25.3,53.8
FL,2024-08-01,Normal,2.79,1.0,138,73.3,16.7,47.8
FL,2024-09-01,Normal,2.34,1.0,199,82.7,15.5,51.4
FL,2024-10-01,Normal,1.48,1.0,129,89.1,25.6,58.8
FL,2024-11-01,Normal,2.71,1.0,94,88.8,15.0,54.6
FL,2024-12-01,Pre_Christmas,2.47,2.09,200,98.2,26.4,67.5
FL,2025-01-01,Post_Christmas,1.6,1.0,87,82.5,13.5,49.6
FL,2025-02-01,Normal,2.18,1.0,157,65.3,17.2,43.4
FL,2025-03-01,Normal,1.79,1.0,78,74.4,18.0,48.0
FL,2025-04-01,Normal,1.55,1.0,199,67.7,16.0,43.4
FL,2025-05-01,Normal,2.77,1.0,97,60.1,10.1,37.9
FL,2025-06-01,Normal,1.38,1.0,102,89.0,14.7,53.2
FL,2025-07-01,Normal,1.17,1.0,159,85.9,16.8,52.5
FL,2025-08-01,Normal,1.68,1.0,51,75.4,16.3,47.5
FL,2025-09-01,Normal,2.44,1.0,80,67.6,25.7,49.1
GA,2020-01-01,Post_Christmas,1.31,1.0,18,80.8,10.9,47.2
GA,2020-02-01,Normal,1.5,1.0,37,73.0,17.8,46.9
GA,2020-03-01,Normal,0.8,1.0,48,84.1,10.8,48.2
GA,2020-04-01,Normal,0.91,1.0,22,90.0,28.6,60.2
GA,2020-05-01,Normal,0.64,1.0,34,70.5,25.8,48.8
GA,2020-06-01,Normal,1.07,1.0,64,67.3,29.6,49.5
GA,2020-07-01,Normal,1.5,1.0,75,68.0,28.2,49.6
GA,2020-08-01,Normal,1.2,1.0,10,62.8,16.3,40.8
GA,2020-09-01,Normal,1.1,1.0,53,71.8,23.8,48.9
GA,2020-10-01,Normal,0.89,1.0,11,60.5,16.1,39.2
GA,2020-11-01,Normal,1.42,1.0,46,63.4,27.8,47.0
GA,2020-12-01,Pre_Christmas,1.22,1.86,90,76.1,18.2,49.4
GA,2021-01-01,Post_Christmas,0.87,1.0,65,82.0,17.5,50.6
GA,2021-02-01,Normal,0.57,1.0,64,63.2,28.3,46.3
GA,2021-03-01,Normal,0.7,1.0,67,86.0,26.7,57.1
GA,2021-04-01,Normal,0.52,1.0,29,66.6,29.3,48.5
GA,2021-05-01,Normal,0.95,1.0,10,63.3,11.3,38.2
GA,2021-06-01,Normal,1.13,1.0,41,60.3,14.9,38.7
GA,2021-07-01,Normal,0.84,1.0,53,81.5,16.0,49.6
GA,2021-08-01,Normal,0.92,1.0,41,67.7,18.5,44.0
GA,2021-09-01,Normal,1.46,1.0,75,75.3,19.5,48.9
GA,2021-10-01,Normal,1.25,1.0,66,63.3,15.8,40.8
GA,2021-11-01,Normal,1.04,1.0,65,89.6,25.8,58.7
GA,2021-12-01,Pre_Christmas,1.08,1.63,14,72.8,14.5,45.4
GA,2022-01-01,Post_Christmas,0.74,1.0,69,85.5,23.9,55.4
GA,2022-02-01,Normal,0.83,1.0,51,67.3,27.0,48.0
GA,2022-03-01,Normal,1.41,1.0,67,68.0,22.1,46.5
GA,2022-04-01,Normal,1.03,1.0,73,84.3,17.1,51.7
GA,2022-05-01,Normal,1.24,1.0,48,68.2,13.8,42.2
GA,2022-06-01,Normal,1.09,1.0,12,60.1,12.7,37.5
GA,2022-07-01,Normal,1.15,1.0,53,72.8,24.9,50.0
GA,2022-08-01,Normal,0.8,1.0,57,60.4,19.4,40.7
GA,2022-09-01,Normal,0.74,1.0,14,87.3,10.9,49.8
GA,2022-10-01,Normal,0.82,1.0,67,79.3,29.7,55.3
GA,2022-11-01,Normal,0.66,1.0,24,77.5,23.4,51.1
GA,2022-12-01,Pre_Christmas,1.73,1.94,87,77.3,26.9,55.5
GA,2023-01-01,Post_Christmas,1.06,1.0,48,80.3,18.8,50.6
GA,2023-02-01,Normal,1.29,1.0,11,61.8,29.1,46.7
GA,2023-03-01,Normal,1.28,1.0,61,86.4,14.0,51.5
GA,2023-04-01,Normal,0.94,1.0,36,77.4,13.7,46.5
GA,2023-05-01,Normal,0.98,1.0,68,83.8,27.8,56.8
GA,2023-06-01,Normal,1.49,1.0,26,67.9,27.8,49.3
GA,2023-07-01,Normal,1.17,1.0,74,63.7,20.0,43.0
GA,2023-08-01,Normal,1.31,1.0,75,81.1,12.5,48.1
GA,2023-09-01,Normal,1.4,1.0,17,83.8,16.1,51.3
GA,2023-10-01,Normal,1.29,1.0,55,71.6,25.1,49.6
GA,2023-11-01,Normal,0.69,1.0,75,60.7,26.9,44.5
GA,2023-12-01,Pre_Christmas,1.3,1.65,42,94.7,17.0,58.0
GA,2024-01-01,Post_Christmas,1.15,1.0,14,70.2,11.2,41.9
GA,2024-02-01,Normal,1.46,1.0,11,78.8,23.3,52.5
GA,2024-03-01,Normal,1.01,1.0,68,63.0,24.8,44.9
GA,2024-04-01,Normal,0.93,1.0,57,62.2,18.5,41.3
GA,2024-05-01,Normal,0.54,1.0,14,60.8,21.7,41.8
GA,2024-06-01,Normal,1.46,1.0,28,87.5,29.7,60.1
GA,2024-07-01,Normal,0.6,1.0,11,69.3,14.9,42.7
GA,2024-08-01,Normal,0.54,1.0,76,79.8,21.5,51.2
GA,2024-09-01,Normal,0.75,1.0,11,89.7,22.2,56.7
GA,2024-10-01,Normal,0.57,1.0,65,80.1,21.0,51.1
GA,2024-11-01,Normal,0.96,1.0,45,75.8,27.4,52.6
GA,2024-12-01,Pre_Christmas,1.28,1.6,61,86.0,22.1,56.1
GA,2025-01-01,Post_Christmas,0.55,1.0,66,78.0,20.2,49.6
GA,2025-02-01,Normal,0.61,1.0,11,88.8,12.5,51.3
GA,2025-03-01,Normal,0.88,1.0,18,83.6,24.1,54.7
GA,2025-04-01,Normal,0.56,1.0,57,72.7,12.6,43.2
GA,2025-05-01,Normal,1.2,1.0,49,70.0,10.5,41.5
GA,2025-06-01,Normal,0.71,1.0,15,86.5,19.8,53.9
GA,2025-07-01,Normal,0.8,1.0,26,64.1,21.4,43.5
GA,2025-08-01,Normal,0.89,1.0,47,85.5,30.0,58.6
GA,2025-09-01,Normal,0.92,1.0,61,67.7,24.2,46.9
HI,2020-01-01,Post_Christmas,0.5,1.0,34,51.5,55.5,54.0
HI,2020-02-01,Normal,0.61,1.0,76,54.2,40.4,47.9
HI,2020-03-01,Normal,1.36,1.0,79,44.3,45.3,46.2
HI,2020-04-01,Normal,0.5,1.0,63,35.8,59.2,48.0
HI,2020-05-01,Normal,1.01,1.0,41,55.3,42.5,49.9
HI,2020-06-01,Normal,0.99,1.0,71,41.0,54.2,48.6
HI,2020-07-01,Normal,0.83,1.0,60,39.6,45.8,43.5
HI,2020-08-01,Normal,0.93,1.0,46,45.3,36.7,41.9
HI,2020-09-01,Normal,1.28,1.0,41,43.1,47.4,46.5
HI,2020-10-01,Normal,1.34,1.0,68,50.5,36.5,44.8
HI,2020-11-01,Normal,0.76,1.0,48,34.1,30.1,32.9
HI,2020-12-01,Pre_Christmas,1.03,1.54,26,51.2,37.1,45.7
HI,2021-01-01,Post_Christmas,0.98,1.0,58,31.1,35.8,34.4
HI,2021-02-01,Normal,1.18,1.0,55,43.7,41.1,43.6
HI,2021-03-01,Normal,0.73,1.0,51,49.8,56.7,54.0
HI,2021-04-01,Normal,0.83,1.0,13,56.6,41.6,49.9
HI,2021-05-01,Normal,1.43,1.0,44,47.8,55.4,53.0
HI,2021-06-01,Normal,0.55,1.0,72,54.7,46.7,51.2
HI,2021-07-01,Normal,0.96,1.0,26,36.7,30.2,34.4
HI,2021-08-01,Normal,1.21,1.0,58,40.6,35.7,39.4
HI,2021-09-01,Normal,0.65,1.0,70,58.3,57.9,58.8
HI,2021-10-01,Normal,0.55,1.0,76,56.6,48.1,52.9
HI,2021-11-01,Normal,0.64,1.0,46,46.7,57.9,52.9
HI,2021-12-01,Pre_Christmas,1.71,1.76,41,50.7,39.3,48.0
HI,2022-01-01,Post_Christmas,0.69,1.0,53,31.8,51.5,42.3
HI,2022-02-01,Normal,0.53,1.0,61,56.8,53.2,55.5
HI,2022-03-01,Normal,0.61,1.0,59,54.5,59.3,57.5
HI,2022-04-01,Normal,1.12,1.0,26,43.7,30.5,38.2
HI,2022-05-01,Normal,0.74,1.0,62,38.4,58.6,49.2
HI,2022-06-01,Normal,1.07,1.0,47,40.3,41.7,42.1
HI,2022-07-01,Normal,1.09,1.0,75,33.7,55.1,45.5
HI,2022-08-01,Normal,1.35,1.0,56,51.7,46.3,50.4
HI,2022-09-01,Normal,0.5,1.0,72,46.7,46.9,47.3
HI,2022-10-01,Normal,1.35,1.0,78,37.0,40.8,40.2
HI,2022-11-01,Normal,1.12,1.0,79,48.7,54.9,52.9
HI,2022-12-01,Pre_Christmas,0.9,1.73,76,66.0,37.9,53.5
HI,2023-01-01,Post_Christmas,1.36,1.0,37,43.8,44.8,45.7
HI,2023-02-01,Normal,0.75,1.0,43,44.8,46.8,46.5
HI,2023-03-01,Normal,1.42,1.0,64,35.0,52.3,45.1
HI,2023-04-01,Normal,0.95,1.0,51,45.9,44.1,46.0
HI,2023-05-01,Normal,1.1,1.0,40,48.2,50.4,50.4
HI,2023-06-01,Normal,1.48,1.0,20,34.7,44.6,41.1
HI,2023-07-01,Normal,0.86,1.0,60,34.6,49.8,43.1
HI,2023-08-01,Normal,1.31,1.0,40,55.7,50.2,54.3
HI,2023-09-01,Normal,0.82,1.0,12,39.3,51.3,46.1
HI,2023-10-01,Normal,1.3,1.0,29,48.9,54.7,53.1
HI,2023-11-01,Normal,1.1,1.0,71,48.8,46.2,48.6
HI,2023-12-01,Pre_Christmas,0.92,1.88,24,64.8,35.8,52.0
HI,2024-01-01,Post_Christmas,0.82,1.0,15,55.2,50.4,53.6
HI,2024-02-01,Normal,0.58,1.0,21,48.8,32.3,41.1
HI,2024-03-01,Normal,0.53,1.0,75,43.5,36.6,40.6
HI,2024-04-01,Normal,0.85,1.0,51,41.8,53.8,48.6
HI,2024-05-01,Normal,0.52,1.0,24,41.4,43.1,42.8
HI,2024-06-01,Normal,0.67,1.0,21,42.6,44.9,44.4
HI,2024-07-01,Normal,1.23,1.0,39,33.9,59.6,48.0
HI,2024-08-01,Normal,1.21,1.0,60,42.7,37.1,41.1
HI,2024-09-01,Normal,1.24,1.0,61,41.7,30.6,37.4
HI,2024-10-01,Normal,0.82,1.0,23,31.0,33.3,33.0
HI,2024-11-01,Normal,1.39,1.0,60,38.3,37.3,39.2
HI,2024-12-01,Pre_Christmas,1.34,1.73,86,60.9,51.8,58.7
HI,2025-01-01,Post_Christmas,0.64,1.0,77,54.2,53.3,54.4
HI,2025-02-01,Normal,1.19,1.0,46,46.3,47.0,47.8
HI,2025-03-01,Normal,0.67,1.0,64,55.6,37.7,47.3
HI,2025-04-01,Normal,1.01,1.0,32,53.9,45.7,50.8
